,Date,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate
Hepatitis B (newly acquired),1/31/19,0,0,0,7,0,0,6,5,18,0,0,0,0.1,0,0,0.1,0.2,0.1
Hepatitis B (unspecified),1/31/19,4,187,5,63,16,2,116,36,429,0.9,2.3,2,1.2,0.9,0.4,1.8,1.4,1.7
Hepatitis C (newly acquired),1/31/19,1,4,0,37,3,1,4,8,58,0.2,0,0,0.7,0.2,0.2,0.1,0.3,0.2
Hepatitis C (unspecified),1/31/19,10,277,6,130,19,11,152,67,672,2.3,3.4,2.4,2.6,1.1,2.1,2.3,2.6,2.7
Hepatitis D,1/31/19,0,1,0,1,0,0,2,1,5,0,0,0,0,0,0,0,0,0
Botulism,1/31/19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Campylobacteriosis,1/31/19,60,1192,36,957,330,85,713,299,3672,14.1,14.7,14.6,18.8,18.8,15.9,10.8,11.4,21.3
Cryptosporidiosis,1/31/19,2,108,9,93,17,0,78,13,320,0.5,1.3,3.7,1.8,1,0,1.2,0.5,1.3
Haemolytic uraemic syndrome (HUS),1/31/19,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0
Hepatitis A,1/31/19,0,9,1,0,0,0,18,6,34,0,0.1,0.4,0,0,0,0.3,0.2,0.1
Hepatitis E,1/31/19,0,2,0,1,0,0,0,2,5,0,0,0,0,0,0,0,0.1,0
Listeriosis,1/31/19,0,1,0,2,0,0,2,3,8,0,0,0,0,0,0,0,0.1,0
Paratyphoid,1/31/19,0,5,0,3,2,0,9,0,19,0,0.1,0,0.1,0.1,0,0.1,0,0.1
STEC,1/31/19,0,12,0,1,28,0,9,10,60,0,0.1,0,0,1.6,0,0.1,0.4,0.2
Salmonellosis,1/31/19,19,478,35,401,113,36,344,180,1606,4.5,5.9,14.2,7.9,6.4,6.7,5.2,6.9,6.3
Shigellosis,1/31/19,6,79,37,68,38,0,76,61,365,1.4,1,15,1.3,2.2,0,1.2,2.3,1.4
Typhoid Fever,1/31/19,2,14,0,3,2,0,12,4,37,0.5,0.2,0,0.1,0.1,0,0.2,0.2,0.1
Legionellosis,1/31/19,0,17,1,3,1,2,8,2,34,0,0.2,0.4,0.1,0.1,0.4,0.1,0.1,0.1
Leprosy,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningococcal disease (invasive),1/31/19,0,3,1,3,2,0,4,3,16,0,0,0.4,0.1,0.1,0,0.1,0.1,0.1
Tuberculosis,1/31/19,2,37,2,13,5,3,34,8,104,0.5,0.5,0.8,0.3,0.3,0.6,0.5,0.3,0.4
COVID-19,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholera,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East respiratory syndrome coronavirus,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plague,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabies,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallpox,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral haemorrhagic fever (NEC),1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow fever,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydial infection,1/31/19,157,2885,253,2142,589,140,2406,1161,9733,36.8,35.7,102.8,42.1,33.6,26.2,36.5,44.3,38.4
Donovanosis,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonococcal infection,1/31/19,44,1050,147,551,140,9,847,433,3221,10.3,13,59.7,10.8,8,1.7,12.8,16.5,12.7
Syphilis < 2 years,1/31/19,7,146,32,104,15,1,123,56,484,1.6,1.8,13,2,0.9,0.2,1.9,2.1,1.9
Syphilis > 2 years or unspecified duration,1/31/19,2,53,5,28,9,0,75,14,186,0.5,0.7,2,0.5,0.5,0,1.1,0.5,0.7
Syphilis congenital,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphtheria,1/31/19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Haemophilus influenzae type b,1/31/19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Influenza (laboratory confirmed),1/31/19,52,2083,126,2026,499,61,1399,585,6831,12.2,25.8,51.2,39.8,28.5,11.4,21.2,22.3,26.9
Measles,1/31/19,0,9,0,1,2,0,3,10,25,0,0.1,0,0,0.1,0,0,0.4,0.1
Mumps,1/31/19,0,7,0,7,0,0,0,3,17,0,0.1,0,0.1,0,0,0,0.1,0.1
Pertussis,1/31/19,41,691,4,172,29,124,190,69,1320,9.6,8.5,1.6,3.4,1.7,23.2,2.9,2.6,5.2
Pneumococcal disease (invasive),1/31/19,2,31,3,17,9,2,22,10,96,0.5,0.4,1.2,0.3,0.5,0.4,0.3,0.4,0.4
Poliovirus infection,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotavirus,1/31/19,3,57,3,61,23,1,26,14,188,0.7,0.7,1.2,1.2,1.3,0.2,0.4,0.5,0.7
Rubella,1/31/19,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0
Rubella congenital,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetanus,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicella zoster (chickenpox),1/31/19,27,NN,6,33,45,6,130,40,287,6.3,NN,2.4,0.6,2.6,1.1,2,1.5,1.1
Varicella zoster (shingles),1/31/19,37,NN,29,274,292,37,247,162,1078,8.7,NN,11.8,5.4,16.7,6.9,3.7,6.2,4.3
Varicella zoster (unspecified),1/31/19,9,NN,0,461,6,13,674,125,1288,2.1,NN,0,9.1,0.3,2.4,10.2,4.8,5.1
Barmah Forest virus infection,1/31/19,0,8,0,10,0,2,2,3,25,0,0.1,0,0.2,0,0.4,0,0.1,0.1
Chikungunya virus infection,1/31/19,0,0,0,1,0,1,2,0,4,0,0,0,0,0,0.2,0,0,0
Dengue virus infection,1/31/19,3,41,6,28,6,2,46,26,158,0.7,0.5,2.4,0.5,0.3,0.4,0.7,1,0.6
Flavivirus infection (unspecified),1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japanese encephalitis virus infection,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,1/31/19,0,4,1,18,7,0,4,1,35,0,0,0.4,0.4,0.4,0,0.1,0,0.1
Murray Valley encephalitis virus infection,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross River virus infection,1/31/19,1,39,16,98,2,1,29,52,238,0.2,0.5,6.5,1.9,0.1,0.2,0.4,2,0.9
West Nile/Kunjin virus infection,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthrax,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian bat lyssavirus infection,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brucellosis,1/31/19,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Leptospirosis,1/31/19,0,1,0,2,0,0,1,1,5,0,0,0,0,0,0,0,0,0
Lyssavirus infection (NEC),1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithosis,1/31/19,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Q fever,1/31/19,1,32,1,18,1,0,3,1,57,0.2,0.4,0.4,0.4,0.1,0,0,0,0.2
Tularaemia,1/31/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis (NEC),12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis B (newly acquired),12/31/18,0,1,0,3,0,0,6,4,14,0,0,0,0.1,0,0,0.1,0.2,0.1
Hepatitis B (unspecified),12/31/18,5,142,4,48,24,2,92,34,351,1.2,1.8,1.6,1,1.4,0.4,1.4,1.3,1.4
Hepatitis C (newly acquired),12/31/18,0,5,0,23,3,0,6,12,49,0,0.1,0,0.5,0.2,0,0.1,0.5,0.2
Hepatitis C (unspecified),12/31/18,9,248,14,131,29,9,144,57,641,2.1,3.1,5.7,2.6,1.7,1.7,2.2,2.2,2.6
Hepatitis D,12/31/18,1,5,0,0,0,0,0,0,6,0.2,0.1,0,0,0,0,0,0,0
Botulism,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacteriosis,12/31/18,49,NN,30,691,319,77,659,319,2144,11.7,NN,12.1,13.8,18.4,14.6,10.2,12.3,12.6
Cryptosporidiosis,12/31/18,3,51,9,65,9,1,33,15,186,0.7,0.6,3.6,1.3,0.5,0.2,0.5,0.6,0.7
Haemolytic uraemic syndrome (HUS),12/31/18,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Hepatitis A,12/31/18,0,5,0,0,1,0,14,2,22,0,0.1,0,0,0.1,0,0.2,0.1,0.1
Hepatitis E,12/31/18,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Listeriosis,12/31/18,0,1,0,2,0,0,0,1,4,0,0,0,0,0,0,0,0,0
Paratyphoid,12/31/18,0,5,0,0,0,0,3,1,9,0,0.1,0,0,0,0,0,0,0
STEC,12/31/18,0,7,0,3,22,1,8,18,59,0,0.1,0,0.1,1.3,0.2,0.1,0.7,0.2
Salmonellosis,12/31/18,34,355,33,307,95,24,301,138,1287,8.1,4.4,13.4,6.1,5.5,4.5,4.7,5.3,5.2
Shigellosis,12/31/18,2,67,20,37,31,3,40,24,224,0.5,0.8,8.1,0.7,1.8,0.6,0.6,0.9,0.9
Typhoid Fever,12/31/18,1,6,0,4,0,0,1,0,12,0.2,0.1,0,0.1,0,0,0,0,0
Legionellosis,12/31/18,2,21,0,1,4,2,10,1,41,0.5,0.3,0,0,0.2,0.4,0.2,0,0.2
Leprosy,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningococcal disease (invasive),12/31/18,0,7,2,5,2,1,6,4,27,0,0.1,0.8,0.1,0.1,0.2,0.1,0.2,0.1
Tuberculosis,12/31/18,2,36,2,23,10,0,33,24,130,0.5,0.5,0.8,0.5,0.6,0,0.5,0.9,0.5
COVID-19,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholera,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East respiratory syndrome coronavirus,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plague,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabies,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallpox,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral haemorrhagic fever (NEC),12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow fever,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydial infection,12/31/18,110,2071,147,1605,417,122,1840,789,7101,26.2,26,59.5,32,24,23.1,28.5,30.4,28.4
Donovanosis,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonococcal infection,12/31/18,24,699,125,419,97,10,626,284,2284,5.7,8.8,50.6,8.4,5.6,1.9,9.7,10.9,9.1
Syphilis < 2 years,12/31/18,4,132,24,70,15,2,110,47,404,1,1.7,9.7,1.4,0.9,0.4,1.7,1.8,1.6
Syphilis > 2 years or unspecified duration,12/31/18,0,59,5,18,7,1,65,8,163,0,0.7,2,0.4,0.4,0.2,1,0.3,0.7
Syphilis congenital,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphtheria,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus influenzae type b,12/31/18,0,0,1,1,1,0,0,0,3,0,0,0.4,0,0.1,0,0,0,0
Influenza (laboratory confirmed),12/31/18,30,1033,675,2043,609,38,1442,398,6268,7.1,12.9,273.2,40.8,35.1,7.2,22.3,15.3,25.1
Measles,12/31/18,2,2,0,2,1,0,2,3,12,0.5,0,0,0,0.1,0,0,0.1,0
Mumps,12/31/18,0,4,0,12,3,0,1,0,20,0,0.1,0,0.2,0.2,0,0,0,0.1
Pertussis,12/31/18,32,900,3,215,59,104,158,58,1529,7.6,11.3,1.2,4.3,3.4,19.7,2.4,2.2,6.1
Pneumococcal disease (invasive),12/31/18,1,50,4,15,8,5,32,13,128,0.2,0.6,1.6,0.3,0.5,0.9,0.5,0.5,0.5
Poliovirus infection,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotavirus,12/31/18,4,57,6,59,51,2,NN,24,203,1,0.7,2.4,1.2,2.9,0.4,0.9,0.9,1
Rubella,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubella congenital,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetanus,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicella zoster (chickenpox),12/31/18,44,NN,1,95,104,6,184,53,487,10.5,NN,0.4,1.9,6,1.1,2.8,2,1.9
Varicella zoster (shingles),12/31/18,40,NN,27,575,270,42,221,179,1354,9.5,NN,10.9,11.5,15.5,8,3.4,6.9,5.4
Varicella zoster (unspecified),12/31/18,10,NN,1,44,14,18,694,117,898,2.4,NN,0.4,0.9,0.8,3.4,10.7,4.5,3.6
Barmah Forest virus infection,12/31/18,0,4,0,10,1,0,0,0,15,0,0.1,0,0.2,0.1,0,0,0,0.1
Chikungunya virus infection,12/31/18,0,4,0,0,1,0,0,0,5,0,0.1,0,0,0.1,0,0,0,0
Dengue virus infection,12/31/18,2,20,5,20,5,1,24,16,93,0.5,0.3,2,0.4,0.3,0.2,0.4,0.6,0.4
Flavivirus infection (unspecified),12/31/18,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Japanese encephalitis virus infection,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,12/31/18,2,4,1,11,12,0,4,5,39,0.5,0.1,0.4,0.2,0.7,0,0.1,0.2,0.2
Murray Valley encephalitis virus infection,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross River virus infection,12/31/18,0,27,4,71,3,0,10,26,141,0,0.3,1.6,1.4,0.2,0,0.2,1,0.6
West Nile/Kunjin virus infection,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthrax,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian bat lyssavirus infection,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brucellosis,12/31/18,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Leptospirosis,12/31/18,0,0,0,4,0,0,2,2,8,0,0,0,0.1,0,0,0,0.1,0
Lyssavirus infection (NEC),12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithosis,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q fever,12/31/18,0,17,0,14,3,0,1,1,36,0,0.2,0,0.3,0.2,0,0,0,0.1
Tularaemia,12/31/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis (NEC),11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis B (newly acquired),11/30/18,0,1,1,5,1,1,4,2,15,0,0,0.4,0.1,0.1,0.2,0.1,0.1,0.1
Hepatitis B (unspecified),11/30/18,9,209,7,53,27,3,168,35,511,2.1,2.6,2.8,1.1,1.6,0.6,2.6,1.3,2
Hepatitis C (newly acquired),11/30/18,0,2,0,27,5,1,8,14,57,0,0,0,0.5,0.3,0.2,0.1,0.5,0.2
Hepatitis C (unspecified),11/30/18,9,311,11,150,45,18,144,74,762,2.1,3.9,4.5,3,2.6,3.4,2.2,2.9,3.1
Hepatitis D,11/30/18,0,5,0,2,1,0,4,1,13,0,0.1,0,0,0.1,0,0.1,0,0.1
Botulism,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacteriosis,11/30/18,47,NN,29,779,337,80,658,353,2283,11.2,NN,11.7,15.6,19.4,15.1,10.2,13.6,13.4
Cryptosporidiosis,11/30/18,0,42,4,87,8,4,36,11,192,0,0.5,1.6,1.7,0.5,0.8,0.6,0.4,0.8
Haemolytic uraemic syndrome (HUS),11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis A,11/30/18,0,6,0,8,0,0,9,2,25,0,0.1,0,0.2,0,0,0.1,0.1,0.1
Hepatitis E,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Listeriosis,11/30/18,0,1,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0
Paratyphoid,11/30/18,0,4,0,0,0,0,0,1,5,0,0.1,0,0,0,0,0,0,0
STEC,11/30/18,0,7,0,3,37,0,11,12,70,0,0.1,0,0.1,2.1,0,0.2,0.5,0.3
Salmonellosis,11/30/18,17,256,38,261,58,19,233,174,1056,4,3.2,15.4,5.2,3.3,3.6,3.6,6.7,4.2
Shigellosis,11/30/18,3,79,33,52,62,1,33,17,280,0.7,1,13.4,1,3.6,0.2,0.5,0.7,1.1
Typhoid Fever,11/30/18,0,4,0,0,1,0,3,1,9,0,0.1,0,0,0.1,0,0,0,0
Legionellosis,11/30/18,2,27,0,4,3,0,21,2,59,0.5,0.3,0,0.1,0.2,0,0.3,0.1,0.2
Leprosy,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningococcal disease (invasive),11/30/18,0,6,0,7,5,1,4,3,26,0,0.1,0,0.1,0.3,0.2,0.1,0.1,0.1
Tuberculosis,11/30/18,2,48,1,11,14,1,41,17,135,0.5,0.6,0.4,0.2,0.8,0.2,0.6,0.7,0.5
COVID-19,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cholera,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle East respiratory syndrome coronavirus,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plague,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabies,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smallpox,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral haemorrhagic fever (NEC),11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow fever,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydial infection,11/30/18,135,2574,227,2073,522,140,2270,992,8933,32.1,32.3,91.9,41.4,30.1,26.5,35.1,38.2,35.8
Donovanosis,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonococcal infection,11/30/18,40,844,167,505,93,13,647,310,2619,9.5,10.6,67.6,10.1,5.4,2.5,10,11.9,10.5
Syphilis < 2 years,11/30/18,5,162,43,96,21,2,133,43,505,1.2,2,17.4,1.9,1.2,0.4,2.1,1.7,2
Syphilis > 2 years or unspecified duration,11/30/18,0,83,4,28,7,4,72,20,218,0,1,1.6,0.6,0.4,0.8,1.1,0.8,0.9
Syphilis congenital,11/30/18,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Diphtheria,11/30/18,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Haemophilus influenzae type b,11/30/18,0,1,0,0,1,0,0,0,2,0,0,0,0,0.1,0,0,0,0
Influenza (laboratory confirmed),11/30/18,23,900,305,1366,984,61,1567,343,5549,5.5,11.3,123.5,27.3,56.7,11.5,24.2,13.2,22.2
Measles,11/30/18,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0.3,0
Mumps,11/30/18,0,3,1,11,0,0,3,0,18,0,0,0.4,0.2,0,0,0,0,0.1
Pertussis,11/30/18,62,1107,3,254,58,100,161,84,1829,14.7,13.9,1.2,5.1,3.3,18.9,2.5,3.2,7.3
Pneumococcal disease (invasive),11/30/18,0,46,4,26,7,2,45,20,150,0,0.6,1.6,0.5,0.4,0.4,0.7,0.8,0.6
Poliovirus infection,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rotavirus,11/30/18,2,58,4,67,49,6,NN,43,229,0.5,0.7,1.6,1.3,2.8,1.1,1.3,1.7,1.3
Rubella,11/30/18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Rubella congenital,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetanus,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Varicella zoster (chickenpox),11/30/18,56,NN,9,59,86,4,149,52,415,13.3,NN,3.6,1.2,5,0.8,2.3,2,1.7
Varicella zoster (shingles),11/30/18,37,NN,28,286,285,41,227,191,1095,8.8,NN,11.3,5.7,16.4,7.8,3.5,7.4,4.4
Varicella zoster (unspecified),11/30/18,11,NN,0,430,23,9,647,144,1264,2.6,NN,0,8.6,1.3,1.7,10,5.6,5.1
Barmah Forest virus infection,11/30/18,0,5,0,14,0,0,1,2,22,0,0.1,0,0.3,0,0,0,0.1,0.1
Chikungunya virus infection,11/30/18,0,2,0,0,1,0,2,0,5,0,0,0,0,0.1,0,0,0,0
Dengue virus infection,11/30/18,3,36,2,15,5,3,23,12,99,0.7,0.5,0.8,0.3,0.3,0.6,0.4,0.5,0.4
Flavivirus infection (unspecified),11/30/18,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Japanese encephalitis virus infection,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaria,11/30/18,0,4,1,19,6,1,7,2,40,0,0.1,0.4,0.4,0.3,0.2,0.1,0.1,0.2
Murray Valley encephalitis virus infection,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ross River virus infection,11/30/18,0,30,3,92,5,1,9,29,169,0,0.4,1.2,1.8,0.3,0.2,0.1,1.1,0.7
West Nile/Kunjin virus infection,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthrax,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australian bat lyssavirus infection,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brucellosis,11/30/18,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Leptospirosis,11/30/18,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,0
Lyssavirus infection (NEC),11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ornithosis,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q fever,11/30/18,0,25,0,16,1,0,5,0,47,0,0.3,0,0.3,0.1,0,0.1,0,0.2
Tularaemia,11/30/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
